escola_slug,escola_nome,ano,estado,grupo,posicao,pontos,resultado
mangueira,Estação Primeira de Mangueira,2024,RJ,Especial,7,268.8,7º Lugar
mangueira,Estação Primeira de Mangueira,2023,RJ,Especial,5,269.1,5º Lugar
mangueira,Estação Primeira de Mangueira,2022,RJ,Especial,7,268.2,7º Lugar
mangueira,Estação Primeira de Mangueira,2020,RJ,Especial,6,268.9,6º Lugar
mangueira,Estação Primeira de Mangueira,2019,RJ,Especial,1,270.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,2018,RJ,Especial,5,269.3,5º Lugar
mangueira,Estação Primeira de Mangueira,2017,RJ,Especial,4,269.6,4º Lugar
mangueira,Estação Primeira de Mangueira,2016,RJ,Especial,1,269.8,CAMPEÃ
mangueira,Estação Primeira de Mangueira,2002,RJ,Especial,1,269.9,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1998,RJ,Especial,1,270.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1987,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1986,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1984,RJ,Especial,1,10.0,CAMPEÃ (Supercampeã)
mangueira,Estação Primeira de Mangueira,1973,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1968,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1967,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1961,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1960,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1954,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1950,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1949,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1940,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1934,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1933,RJ,Especial,1,10.0,CAMPEÃ
mangueira,Estação Primeira de Mangueira,1932,RJ,Especial,1,10.0,CAMPEÃ (1º Carnaval Oficial)
portela,Portela,2024,RJ,Especial,5,269.1,5º Lugar
portela,Portela,2023,RJ,Especial,10,267.7,10º Lugar
portela,Portela,2017,RJ,Especial,1,269.9,CAMPEÃ
portela,Portela,1984,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1980,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1970,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1966,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1964,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1962,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1960,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1959,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1958,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1957,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1953,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1951,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1947,RJ,Especial,1,10.0,CAMPEÃ (Heptacampeã)
portela,Portela,1946,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1945,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1944,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1943,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1942,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1941,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1939,RJ,Especial,1,10.0,CAMPEÃ
portela,Portela,1935,RJ,Especial,1,10.0,CAMPEÃ
viradouro,Unidos do Viradouro,2024,RJ,Especial,1,270.0,CAMPEÃ
viradouro,Unidos do Viradouro,2023,RJ,Especial,2,269.7,Vice-campeã
viradouro,Unidos do Viradouro,2020,RJ,Especial,1,269.6,CAMPEÃ
viradouro,Unidos do Viradouro,2019,RJ,Especial,2,269.7,Vice-campeã
viradouro,Unidos do Viradouro,1997,RJ,Especial,1,270.0,CAMPEÃ
