escola_slug,ano,tipo_registro,titulo_samba,compositores,interpretacao,grupo_carnaval,posicao,pontos,resultado_oficial
mocidade-alegre,2027,enredo,"Sete Anos de Mar, Sete Léguas de Encanto: A Nau que Venceu o Diabo sob a Benção do Sagrado Manto",Comissão de Carnaval / Caio Araújo (Carnavalesco),Igor Sorriso,Grupo Especial,,,Enredo Anunciado Carnaval 2027
mancha-verde,2027,enredo,Ruth Rocha: a Palavra que Ensina a Criança a Voar,André Machado (Carnavalesco),Fredy Vianna,Grupo Especial,,,Enredo Anunciado Carnaval 2027
dragoes-da-real,2027,enredo,"Sob as Bênçãos de Xangô, a Coroação do Príncipe Reinaldo",Jorge Marcos Freitas (Carnavalesco),Renê Sobral,Grupo Especial,,,Enredo Anunciado Carnaval 2027
imperio-de-casa-verde,2027,enredo,"Sob o Céu do Interior Brilha o Sonho Caipira: Jaguariúna, a Capital Country do Brasil",Fabio Ricardo Rangel da Costa (Carnavalesco),Tinga,Grupo Especial,,,Enredo Anunciado Carnaval 2027
academicos-do-tatuape,2027,enredo,"Congo Kinshasa: O Coração da África, a Herança Viva de um Povo que Resiste ao Tempo",Wagner Santos (Carnavalesco),Cordan,Grupo Especial,,,Enredo Anunciado Carnaval 2027
rosas-de-ouro,2027,enredo,Mar de Rosas,Bruno de Oliveira e Yago Duarte (Carnavalescos),Royce do Cavaco,Grupo Especial,,,Enredo Anunciado Carnaval 2027
aguia-de-ouro,2027,enredo,"Águia na Encantaria de Fés, Folguedos e Milagres que Deságuam no Sertão",Leandro Barboza (Carnavalesco),Douglani,Grupo Especial,,,Enredo Anunciado Carnaval 2027
barroca-zona-sul,2027,enredo,Elekô Obá Xirê — A Força da Mulher que Não se Curva,Pedro Alexandre Alves de Lacerda / Magoo (Carnavalesco),Pixulé,Grupo Especial,,,Enredo Anunciado Carnaval 2027
tom-maior,2027,enredo,Eu Sou o Pão da Vida,Flávio Campello (Carnavalesco),Gilsinho,Acesso 1,,,Enredo Anunciado Carnaval 2027
academicos-do-tucuruvi,2027,enredo,"Ogbódirin, Ògbóni",Nícolas Gonçalves (Carnavalesco),Hudson Luiz,Grupo Especial,,,Enredo Anunciado Carnaval 2027
estrela-do-terceiro-milenio,2027,enredo,"Incrível, Fantástico, Extraordinário",Murilo Lobo (Carnavalesco),Grazzi Brasil,Grupo Especial,,,Enredo Anunciado Carnaval 2027
nene-de-vila-matilde,2027,enredo,Mulheres de Palmares — A Liberdade tem Rosto de Mulher,Chico Ângelo (Carnavalesco),Agnaldo Amaral,Acesso 1,,,Enredo Anunciado Carnaval 2027
colorado-do-bras,2027,enredo,Ojuara — O Homem que Desafiou o Diabo,David Eslavick (Carnavalesco),Léo Reis,Grupo Especial,,,Enredo Anunciado Carnaval 2027
perola-negra,2027,enredo,"Sem Vacilar, Sem me Exibir: Sou Jovelina, a Pérola Negra",André Machado (Carnavalesco),Daniel Collete,Acesso 1,,,Enredo Anunciado Carnaval 2027
unidos-do-peruche,2027,enredo,Filhos de Mãe Preta,Mauro Pegoraro / Xuxa (Carnavalesco),Toninho Penteado,Acesso 2,,,Enredo Anunciado Carnaval 2027
x-9-paulistana,2027,enredo,Se o Rio Muda de Curso Poderá Mudar o Curso da História,Amauri Santos (Carnavalesco),Darlan Alves,Acesso 1,,,Enredo Anunciado Carnaval 2027
