escola_slug,escola_nome,ano,estado,grupo,titulo_samba,compositores,interpretacao
academicos-de-niteroi,Acadêmicos de Niterói,2023,RJ,Série Ouro,O Carnaval da Vitória,"Marcelo Adnet, Tem-Tem Jr, Júnior Fionda, Anderson Lemos, Diego Nogueira, Fábio Barbosa, James Bernardes, Thiago Oliveira, Marcus Lopes e Ronie Oliveira",Danilo Cezar
academicos-de-niteroi,Acadêmicos de Niterói,2024,RJ,Série Ouro,Catopês - Um Céu de Fitas,,Guto Silva
academicos-de-niteroi,Acadêmicos de Niterói,2025,RJ,Série Ouro,Vixe Maria,,Guto Silva
academicos-de-niteroi,Acadêmicos de Niterói,2026,RJ,Grupo Especial,"Do Alto do Mulungu Surge a Esperança: Lula, o Operário do Brasil",,
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1992,RJ,Desfile de Avaliação,Cem Anos nas Ondas de Copacabana,"Manoelzinho Poeta, Jorge Moreira e Edu",Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1993,RJ,Grupo 3,"Respeitável Público, o Circo Chegou",,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1994,RJ,Grupo 2,Ah! Que Saudades que Eu Tenho,,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1995,RJ,Grupo B,"Ontem, Hoje e Sempre Mestre Marçal",,
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1996,RJ,Grupo B,Fica o Dito pelo não Dito,,
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1997,RJ,Grupo B,"Rio de Janeiro a Janeiro, Uma Sinfonia Apoteótica",,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1998,RJ,Grupo B,Conto Dourado de Um Povo Sonhador,,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,1999,RJ,Grupo B,"Vigário, Um Sonho de Liberdade",,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2000,RJ,Grupo C,Nessa Terra Brasil,,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2001,RJ,Grupo D,"África, Glória e Êxtase","Toninho da Telma, Suel Paiva, Dom Mosquito e Fofão",Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2002,RJ,Grupo D,A Metamorfose da Vida,,Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2003,RJ,Grupo D,"Ari Barroso, Mister Samba","Leonel, Budica, Beto Professor e Rubem Moreno",Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2004,RJ,Grupo D,"Arlênio Lívio, a Bandeira do Samba",,
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2005,RJ,Grupo D,"Respeitável Público, o Circo Chegou",Vadinho e Lúcio PDF,
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2006,RJ,Grupo C,"Cantos e Encantos, Um Acalanto para Uiara","Vadinho de Vigário, Quinzinho, Lúcio PDF e Farinha da FM",
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2007,RJ,Grupo C,"Signos, Sonhos do Imaginário? Ou Conto do Vigário?","Amaral, Alzair, Emanuel e Henrique",Serginho Leonel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2008,RJ,Grupo C,Itam - A Saga dos Guerreiros da Terra,"Lucinha, Jorge Moreira, Nei do Pagode, Marcelo e Dario Lima",Dario Lima
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2009,RJ,Grupo Rio de Janeiro 2,"Água, Fonte de Vida. Um Grito de Alerta ao Patrimônio da Terra","Lúcio PDF, Catoim, Dimi Barbosa e Alessandro Basílio",Catoim
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2010,RJ,Grupo Rio de Janeiro 3,"Mitos, Mistérios e Magias do Oculto e do Sagrado","Edmar G.S., Jorge Moreira, Nei do Pagode, Ricardinho e Soneca",Dario Lima
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2011,RJ,Grupo D,"Amor, Um Sentimento Universal",* (ver abaixo),Ademir de São Miguel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2012,RJ,Grupo D,Abdias Nascimento: Uma Vida de Lutas,"Carlinhos do Cavaco, Dener, Joãozinho e Pablo",Ademir de São Miguel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2013,RJ,Grupo C,Vigário Te Convida a Ser Criança Novamente. Vem Brincar com a Gente na Intendente!,,Ademir de São Miguel
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2014,RJ,Grupo D,A Mais Doce Maravilha do Rio: Pão de Açúcar,"Carlinhos do Cavaco, Denner, Thiago Pereira e Franco Cava",Digus Sivla
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2015,RJ,Série D,Aos Olhos do Redentor a Delícia de Ser Carioca,"Rô Barcellos, Tuninho da Telma, Antonio Amaral, Prof. Aluísio, Clebinho Show, Edmilson, Betinha De Vigário e João Bororó",Digu's Silva
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2016,RJ,Série D,Maracanã-Guaçu e o Ninho dos Deuses!,,Digu's Silva
academicos-de-vigario-geral,Acadêmicos de Vigário Geral,2017,RJ,Série C,Contos do Vigário - Nasce um Trouxa a Cada Minuto,"Serginho Aguiar, Samir Trindade, Neyzinho do Cavaco, Carlinho Ousadia, Girão, Gigi da Estiva, Nino Smith, Tadeuzinho e Luiz Carlos D’Avenida",Digu's Silva
